incident_id,incident_type,facility,department,activity,root_cause,body_part_affected,personnel_id,age_group,experience_years,shift,severity_level,potential_severity,osha_recordable,days_away,risk_score,risk_category,direct_cost_usd,indirect_cost_usd,productivity_loss_usd,total_incident_cost_usd,regulatory_fine_usd,total_cost_with_fines_usd,toolbox_talk_conducted,jsa_completed,ppe_compliant,preventable,corrective_action_status,days_to_close,investigation_quality_score,incident_date,year,month,quarter,week_of_year,day_of_week,hour_of_day,month_name,reported_date,investigation_completed_date,total_hours_worked,is_preventable_cost,is_lti,prevention_score
INC-2023-00001,Near Miss,Facility B - Maintenance,Workshop,Manual Handling/Lifting,Procedural Non-Compliance,Not Applicable,EMP-0021,36-45,18,Night,1,2,0,0,2,Low,117.0,234.0,0.0,351.0,0,351.0,1,1,1,0,Completed,5,8,2023-12-31 10:40:48.124751,2023,12,4,52,Sunday,2,December,2023-12-31 10:40:48.124751,2024-01-05 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00002,First Aid,Facility A - Production,Production Operations,Chemical Handling,Communication Breakdown,Hand/Finger,EMP-0147,36-45,10,Swing,2,4,0,0,8,Medium,580.0,1237.0,587.0,2404.0,0,2404.0,1,1,1,1,Completed,14,9,2024-01-16 10:40:48.124751,2024,1,1,3,Tuesday,13,January,2024-01-18 10:40:48.124751,2024-02-01 10:40:48.124751,2500000.0,2404.0,0,1.0
INC-2024-00003,Near Miss,Facility A - Production,Logistics,Vehicle Operations,Poor Housekeeping,Not Applicable,EMP-0014,56+,8,Day,1,1,0,0,3,Low,106.0,172.0,0.0,278.0,0,278.0,0,1,1,1,In Progress,43,9,2024-01-24 10:40:48.124751,2024,1,1,4,Wednesday,10,January,2024-01-25 10:40:48.124751,2024-03-08 10:40:48.124751,2500000.0,278.0,0,0.6666666666666666
INC-2024-00004,First Aid,Facility B - Maintenance,Engineering,Equipment Maintenance,Equipment Failure,Multiple Areas,EMP-0101,46-55,15,Swing,2,3,0,0,10,Medium,435.0,1247.0,575.0,2257.0,0,2257.0,1,0,1,0,Pending,77,9,2024-01-26 10:40:48.124751,2024,1,1,4,Friday,7,January,2024-01-27 10:40:48.124751,2024-04-13 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00005,First Aid,Facility A - Production,Workshop,Pressure Testing,Inadequate PPE,Not Applicable,EMP-0015,18-25,7,Swing,2,2,0,0,6,Medium,377.0,729.0,450.0,1556.0,0,1556.0,0,0,1,1,Completed,23,10,2024-02-01 10:40:48.124751,2024,2,1,5,Thursday,22,February,2024-02-02 10:40:48.124751,2024-02-25 10:40:48.124751,2500000.0,1556.0,0,0.3333333333333333
INC-2024-00006,Near Miss,Facility B - Maintenance,Maintenance,Confined Space Entry,Poor Housekeeping,Not Applicable,EMP-0130,36-45,26,Night,1,2,0,0,2,Low,108.0,186.0,0.0,294.0,0,294.0,1,1,1,1,In Progress,32,10,2024-02-02 10:40:48.124751,2024,2,1,5,Friday,8,February,2024-02-03 10:40:48.124751,2024-03-06 10:40:48.124751,2500000.0,294.0,0,1.0
INC-2024-00007,Near Miss,Facility B - Maintenance,HSE Department,Chemical Handling,Rushing/Time Pressure,Not Applicable,EMP-0054,46-55,28,Day,1,1,0,0,2,Low,112.0,253.0,0.0,365.0,0,365.0,1,1,1,1,Completed,15,7,2024-02-04 10:40:48.124751,2024,2,1,5,Sunday,15,February,2024-02-05 10:40:48.124751,2024-02-20 10:40:48.124751,2500000.0,365.0,0,1.0
INC-2024-00008,First Aid,Facility A - Production,Production Operations,Pressure Testing,Inadequate Risk Assessment,Hand/Finger,EMP-0007,18-25,13,Day,2,3,0,0,8,Medium,548.0,1097.0,604.0,2249.0,0,2249.0,0,1,1,0,In Progress,21,6,2024-02-12 10:40:48.124751,2024,2,1,7,Monday,2,February,2024-02-13 10:40:48.124751,2024-03-05 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00009,First Aid,Facility A - Production,Logistics,Pressure Testing,Communication Breakdown,Back,EMP-0015,26-35,27,Night,2,4,0,0,2,Low,646.0,753.0,437.0,1836.0,0,1836.0,1,1,1,1,Completed,22,8,2024-02-12 10:40:48.124751,2024,2,1,7,Monday,9,February,2024-02-12 10:40:48.124751,2024-03-05 10:40:48.124751,2500000.0,1836.0,0,1.0
INC-2024-00010,Lost Time Injury,Facility A - Production,Engineering,Vehicle Operations,Communication Breakdown,Hand/Finger,EMP-0033,46-55,0,Swing,5,5,1,48,5,Low,56621.0,104888.0,83144.0,244653.0,0,244653.0,1,1,1,1,Completed,4,10,2024-02-26 10:40:48.124751,2024,2,1,9,Monday,0,February,2024-02-28 10:40:48.124751,2024-03-03 10:40:48.124751,2500000.0,244653.0,1,1.0
